ï»¿Year,Month,Month_Number,Data_Item,Value,Units,Source
2025,July,7.0,All uncooked ground beef retail price,6.504,Dollars per pound,BLS
2023,July,7.0,"Chuck roast, USDA Choice, boneless retail price",7.299,Dollars per pound,BLS
2023,August,8.0,"Chuck roast, USDA Choice, boneless retail price",7.298,Dollars per pound,BLS
2023,September,9.0,"Chuck roast, USDA Choice, boneless retail price",7.177,Dollars per pound,BLS
2023,October,10.0,"Chuck roast, USDA Choice, boneless retail price",7.305,Dollars per pound,BLS
2023,November,11.0,"Chuck roast, USDA Choice, boneless retail price",7.612,Dollars per pound,BLS
2023,December,12.0,"Chuck roast, USDA Choice, boneless retail price",7.378,Dollars per pound,BLS
2024,January,1.0,"Chuck roast, USDA Choice, boneless retail price",7.255,Dollars per pound,BLS
2024,February,2.0,"Chuck roast, USDA Choice, boneless retail price",7.513,Dollars per pound,BLS
2024,March,3.0,"Chuck roast, USDA Choice, boneless retail price",7.362,Dollars per pound,BLS
2024,April,4.0,"Chuck roast, USDA Choice, boneless retail price",7.516,Dollars per pound,BLS
2024,May,5.0,"Chuck roast, USDA Choice, boneless retail price",7.531,Dollars per pound,BLS
2024,June,6.0,"Chuck roast, USDA Choice, boneless retail price",7.649,Dollars per pound,BLS
2024,July,7.0,"Chuck roast, USDA Choice, boneless retail price",7.781,Dollars per pound,BLS
2024,August,8.0,"Chuck roast, USDA Choice, boneless retail price",7.692,Dollars per pound,BLS
2024,September,9.0,"Chuck roast, USDA Choice, boneless retail price",7.596,Dollars per pound,BLS
2024,October,10.0,"Chuck roast, USDA Choice, boneless retail price",7.301,Dollars per pound,BLS
2024,November,11.0,"Chuck roast, USDA Choice, boneless retail price",7.578,Dollars per pound,BLS
2024,December,12.0,"Chuck roast, USDA Choice, boneless retail price",7.769,Dollars per pound,BLS
2025,January,1.0,"Chuck roast, USDA Choice, boneless retail price",7.694,Dollars per pound,BLS
2025,February,2.0,"Chuck roast, USDA Choice, boneless retail price",8.104,Dollars per pound,BLS
2025,March,3.0,"Chuck roast, USDA Choice, boneless retail price",8.097,Dollars per pound,BLS
2025,April,4.0,"Chuck roast, USDA Choice, boneless retail price",7.98,Dollars per pound,BLS
2025,May,5.0,"Chuck roast, USDA Choice, boneless retail price",7.875,Dollars per pound,BLS
2025,June,6.0,"Chuck roast, USDA Choice, boneless retail price",8.197,Dollars per pound,BLS
2025,July,7.0,"Chuck roast, USDA Choice, boneless retail price",8.439,Dollars per pound,BLS
2023,July,7.0,"Round roast, USDA Choice boneless retail price",6.625,Dollars per pound,BLS
2023,August,8.0,"Round roast, USDA Choice boneless retail price",6.656,Dollars per pound,BLS
2023,September,9.0,"Round roast, USDA Choice boneless retail price",6.613,Dollars per pound,BLS
2023,October,10.0,"Round roast, USDA Choice boneless retail price",6.795,Dollars per pound,BLS
2023,November,11.0,"Round roast, USDA Choice boneless retail price",6.846,Dollars per pound,BLS
2023,December,12.0,"Round roast, USDA Choice boneless retail price",6.885,Dollars per pound,BLS
2024,January,1.0,"Round roast, USDA Choice boneless retail price",6.737,Dollars per pound,BLS
2024,February,2.0,"Round roast, USDA Choice boneless retail price",6.71,Dollars per pound,BLS
2024,March,3.0,"Round roast, USDA Choice boneless retail price",6.974,Dollars per pound,BLS
2024,April,4.0,"Round roast, USDA Choice boneless retail price",6.858,Dollars per pound,BLS
2024,May,5.0,"Round roast, USDA Choice boneless retail price",6.987,Dollars per pound,BLS
2024,June,6.0,"Round roast, USDA Choice boneless retail price",6.879,Dollars per pound,BLS
2024,July,7.0,"Round roast, USDA Choice boneless retail price",7.121,Dollars per pound,BLS
2024,August,8.0,"Round roast, USDA Choice boneless retail price",7.161,Dollars per pound,BLS
2024,September,9.0,"Round roast, USDA Choice boneless retail price",7.244,Dollars per pound,BLS
2024,October,10.0,"Round roast, USDA Choice boneless retail price",7.008,Dollars per pound,BLS
2024,November,11.0,"Round roast, USDA Choice boneless retail price",7.141,Dollars per pound,BLS
2024,December,12.0,"Round roast, USDA Choice boneless retail price",7.486,Dollars per pound,BLS
2025,January,1.0,"Round roast, USDA Choice boneless retail price",7.27,Dollars per pound,BLS
2025,February,2.0,"Round roast, USDA Choice boneless retail price",7.49,Dollars per pound,BLS
2025,March,3.0,"Round roast, USDA Choice boneless retail price",7.557,Dollars per pound,BLS
2025,April,4.0,"Round roast, USDA Choice boneless retail price",7.616,Dollars per pound,BLS
2025,May,5.0,"Round roast, USDA Choice boneless retail price",7.57,Dollars per pound,BLS
2025,June,6.0,"Round roast, USDA Choice boneless retail price",7.762,Dollars per pound,BLS
2025,July,7.0,"Round roast, USDA Choice boneless retail price",7.909,Dollars per pound,BLS
2023,July,7.0,"Round steak, USDA Choice retail price",7.664,Dollars per pound,BLS
2023,August,8.0,"Round steak, USDA Choice retail price",7.646,Dollars per pound,BLS
2023,September,9.0,"Round steak, USDA Choice retail price",7.774,Dollars per pound,BLS
2023,October,10.0,"Round steak, USDA Choice retail price",7.987,Dollars per pound,BLS
2023,November,11.0,"Round steak, USDA Choice retail price",7.862,Dollars per pound,BLS
2023,December,12.0,"Round steak, USDA Choice retail price",7.994,Dollars per pound,BLS
2024,January,1.0,"Round steak, USDA Choice retail price",8.106,Dollars per pound,BLS
2024,February,2.0,"Round steak, USDA Choice retail price",7.883,Dollars per pound,BLS
2024,March,3.0,"Round steak, USDA Choice retail price",8.031,Dollars per pound,BLS
2024,April,4.0,"Round steak, USDA Choice retail price",8.11,Dollars per pound,BLS
2024,May,5.0,"Round steak, USDA Choice retail price",8.247,Dollars per pound,BLS
2024,June,6.0,"Round steak, USDA Choice retail price",7.927,Dollars per pound,BLS
2024,July,7.0,"Round steak, USDA Choice retail price",8.059,Dollars per pound,BLS
2024,August,8.0,"Round steak, USDA Choice retail price",8.226,Dollars per pound,BLS
2024,September,9.0,"Round steak, USDA Choice retail price",8.148,Dollars per pound,BLS
2024,October,10.0,"Round steak, USDA Choice retail price",8.154,Dollars per pound,BLS
2024,November,11.0,"Round steak, USDA Choice retail price",8.159,Dollars per pound,BLS
2024,December,12.0,"Round steak, USDA Choice retail price",8.136,Dollars per pound,BLS
2025,January,1.0,"Round steak, USDA Choice retail price",8.28,Dollars per pound,BLS
2025,February,2.0,"Round steak, USDA Choice retail price",8.485,Dollars per pound,BLS
2025,March,3.0,"Round steak, USDA Choice retail price",8.554,Dollars per pound,BLS
2025,April,4.0,"Round steak, USDA Choice retail price",8.627,Dollars per pound,BLS
2025,May,5.0,"Round steak, USDA Choice retail price",8.401,Dollars per pound,BLS
2025,June,6.0,"Round steak, USDA Choice retail price",8.457,Dollars per pound,BLS
2025,July,7.0,"Round steak, USDA Choice retail price",8.69,Dollars per pound,BLS
2023,July,7.0,All uncooked beef roasts retail price,7.203,Dollars per pound,BLS
2023,August,8.0,All uncooked beef roasts retail price,7.285,Dollars per pound,BLS
2023,September,9.0,All uncooked beef roasts retail price,7.251,Dollars per pound,BLS
2023,October,10.0,All uncooked beef roasts retail price,7.321,Dollars per pound,BLS
2023,November,11.0,All uncooked beef roasts retail price,7.482,Dollars per pound,BLS
2023,December,12.0,All uncooked beef roasts retail price,7.348,Dollars per pound,BLS
2024,January,1.0,All uncooked beef roasts retail price,7.268,Dollars per pound,BLS
2024,February,2.0,All uncooked beef roasts retail price,7.351,Dollars per pound,BLS
2024,March,3.0,All uncooked beef roasts retail price,7.395,Dollars per pound,BLS
2024,April,4.0,All uncooked beef roasts retail price,7.47,Dollars per pound,BLS
2024,May,5.0,All uncooked beef roasts retail price,7.47,Dollars per pound,BLS
2024,June,6.0,All uncooked beef roasts retail price,7.472,Dollars per pound,BLS
2024,July,7.0,All uncooked beef roasts retail price,7.638,Dollars per pound,BLS
2024,August,8.0,All uncooked beef roasts retail price,7.63,Dollars per pound,BLS
2024,September,9.0,All uncooked beef roasts retail price,7.582,Dollars per pound,BLS
2024,October,10.0,All uncooked beef roasts retail price,7.368,Dollars per pound,BLS
2024,November,11.0,All uncooked beef roasts retail price,7.598,Dollars per pound,BLS
2024,December,12.0,All uncooked beef roasts retail price,7.719,Dollars per pound,BLS
2025,January,1.0,All uncooked beef roasts retail price,7.718,Dollars per pound,BLS
2025,February,2.0,All uncooked beef roasts retail price,7.995,Dollars per pound,BLS
2025,March,3.0,All uncooked beef roasts retail price,7.992,Dollars per pound,BLS
2025,April,4.0,All uncooked beef roasts retail price,7.995,Dollars per pound,BLS
2025,May,5.0,All uncooked beef roasts retail price,7.939,Dollars per pound,BLS
2025,June,6.0,All uncooked beef roasts retail price,8.203,Dollars per pound,BLS
2025,July,7.0,All uncooked beef roasts retail price,8.397,Dollars per pound,BLS
2023,July,7.0,"Sirloin steak, USDA Choice boneless retail price",11.507,Dollars per pound,BLS
2023,August,8.0,"Sirloin steak, USDA Choice boneless retail price",11.432,Dollars per pound,BLS
2023,September,9.0,"Sirloin steak, USDA Choice boneless retail price",11.626,Dollars per pound,BLS
2023,October,10.0,"Sirloin steak, USDA Choice boneless retail price",11.697,Dollars per pound,BLS
2023,November,11.0,"Sirloin steak, USDA Choice boneless retail price",11.533,Dollars per pound,BLS
2023,December,12.0,"Sirloin steak, USDA Choice boneless retail price",11.691,Dollars per pound,BLS
2024,January,1.0,"Sirloin steak, USDA Choice boneless retail price",11.637,Dollars per pound,BLS
2024,February,2.0,"Sirloin steak, USDA Choice boneless retail price",11.716,Dollars per pound,BLS
2024,March,3.0,"Sirloin steak, USDA Choice boneless retail price",11.537,Dollars per pound,BLS
2024,April,4.0,"Sirloin steak, USDA Choice boneless retail price",11.662,Dollars per pound,BLS
2024,May,5.0,"Sirloin steak, USDA Choice boneless retail price",11.558,Dollars per pound,BLS
2024,June,6.0,"Sirloin steak, USDA Choice boneless retail price",11.465,Dollars per pound,BLS
2024,July,7.0,"Sirloin steak, USDA Choice boneless retail price",11.726,Dollars per pound,BLS
2024,August,8.0,"Sirloin steak, USDA Choice boneless retail price",11.54,Dollars per pound,BLS
2024,September,9.0,"Sirloin steak, USDA Choice boneless retail price",11.787,Dollars per pound,BLS
2024,October,10.0,"Sirloin steak, USDA Choice boneless retail price",11.497,Dollars per pound,BLS
2024,November,11.0,"Sirloin steak, USDA Choice boneless retail price",12.014,Dollars per pound,BLS
2024,December,12.0,"Sirloin steak, USDA Choice boneless retail price",11.666,Dollars per pound,BLS
2025,January,1.0,"Sirloin steak, USDA Choice boneless retail price",11.965,Dollars per pound,BLS
2025,February,2.0,"Sirloin steak, USDA Choice boneless retail price",11.899,Dollars per pound,BLS
2025,March,3.0,"Sirloin steak, USDA Choice boneless retail price",11.924,Dollars per pound,BLS
2025,April,4.0,"Sirloin steak, USDA Choice boneless retail price",12.326,Dollars per pound,BLS
2025,May,5.0,"Sirloin steak, USDA Choice boneless retail price",12.207,Dollars per pound,BLS
2025,June,6.0,"Sirloin steak, USDA Choice boneless retail price",12.923,Dollars per pound,BLS
2025,July,7.0,"Sirloin steak, USDA Choice boneless retail price",13.554,Dollars per pound,BLS
2023,July,7.0,"Beef for stew, boneless retail price",7.21,Dollars per pound,BLS
2023,August,8.0,"Beef for stew, boneless retail price",7.157,Dollars per pound,BLS
2023,September,9.0,"Beef for stew, boneless retail price",7.23,Dollars per pound,BLS
2023,October,10.0,"Beef for stew, boneless retail price",7.311,Dollars per pound,BLS
2023,November,11.0,"Beef for stew, boneless retail price",7.16,Dollars per pound,BLS
2023,December,12.0,"Beef for stew, boneless retail price",7.025,Dollars per pound,BLS
2024,January,1.0,"Beef for stew, boneless retail price",7.001,Dollars per pound,BLS
2024,February,2.0,"Beef for stew, boneless retail price",6.839,Dollars per pound,BLS
2024,March,3.0,"Beef for stew, boneless retail price",6.991,Dollars per pound,BLS
2024,April,4.0,"Beef for stew, boneless retail price",7.197,Dollars per pound,BLS
2024,May,5.0,"Beef for stew, boneless retail price",7.229,Dollars per pound,BLS
2024,June,6.0,"Beef for stew, boneless retail price",7.239,Dollars per pound,BLS
2024,July,7.0,"Beef for stew, boneless retail price",7.145,Dollars per pound,BLS
2024,August,8.0,"Beef for stew, boneless retail price",7.298,Dollars per pound,BLS
2024,September,9.0,"Beef for stew, boneless retail price",7.217,Dollars per pound,BLS
2024,October,10.0,"Beef for stew, boneless retail price",7.177,Dollars per pound,BLS
2024,November,11.0,"Beef for stew, boneless retail price",7.432,Dollars per pound,BLS
2024,December,12.0,"Beef for stew, boneless retail price",7.393,Dollars per pound,BLS
2025,January,1.0,"Beef for stew, boneless retail price",7.318,Dollars per pound,BLS
2025,February,2.0,"Beef for stew, boneless retail price",7.677,Dollars per pound,BLS
2025,March,3.0,"Beef for stew, boneless retail price",7.601,Dollars per pound,BLS
2025,April,4.0,"Beef for stew, boneless retail price",7.733,Dollars per pound,BLS
2025,May,5.0,"Beef for stew, boneless retail price",7.729,Dollars per pound,BLS
2025,June,6.0,"Beef for stew, boneless retail price",8.016,Dollars per pound,BLS
2025,July,7.0,"Beef for stew, boneless retail price",8.188,Dollars per pound,BLS
2023,July,7.0,All uncooked beef steaks retail price,10.633,Dollars per pound,BLS
2023,August,8.0,All uncooked beef steaks retail price,10.75,Dollars per pound,BLS
2023,September,9.0,All uncooked beef steaks retail price,10.771,Dollars per pound,BLS
2023,October,10.0,All uncooked beef steaks retail price,10.834,Dollars per pound,BLS
2023,November,11.0,All uncooked beef steaks retail price,10.482,Dollars per pound,BLS
2023,December,12.0,All uncooked beef steaks retail price,10.646,Dollars per pound,BLS
2024,January,1.0,All uncooked beef steaks retail price,10.686,Dollars per pound,BLS
2024,February,2.0,All uncooked beef steaks retail price,10.53,Dollars per pound,BLS
2024,March,3.0,All uncooked beef steaks retail price,10.594,Dollars per pound,BLS
2024,April,4.0,All uncooked beef steaks retail price,10.745,Dollars per pound,BLS
2024,May,5.0,All uncooked beef steaks retail price,10.734,Dollars per pound,BLS
2024,June,6.0,All uncooked beef steaks retail price,10.635,Dollars per pound,BLS
2024,July,7.0,All uncooked beef steaks retail price,10.856,Dollars per pound,BLS
2024,August,8.0,All uncooked beef steaks retail price,10.875,Dollars per pound,BLS
2024,September,9.0,All uncooked beef steaks retail price,10.882,Dollars per pound,BLS
2024,October,10.0,All uncooked beef steaks retail price,10.565,Dollars per pound,BLS
2024,November,11.0,All uncooked beef steaks retail price,10.673,Dollars per pound,BLS
2024,December,12.0,All uncooked beef steaks retail price,10.626,Dollars per pound,BLS
2025,January,1.0,All uncooked beef steaks retail price,10.905,Dollars per pound,BLS
2025,February,2.0,All uncooked beef steaks retail price,10.868,Dollars per pound,BLS
2025,March,3.0,All uncooked beef steaks retail price,10.98,Dollars per pound,BLS
2025,April,4.0,All uncooked beef steaks retail price,11.12,Dollars per pound,BLS
2025,May,5.0,All uncooked beef steaks retail price,11.032,Dollars per pound,BLS
2025,June,6.0,All uncooked beef steaks retail price,11.491,Dollars per pound,BLS
2025,July,7.0,All uncooked beef steaks retail price,11.875,Dollars per pound,BLS
2023,July,7.0,All uncooked other beef not veal retail price,6.769,Dollars per pound,BLS
2023,August,8.0,All uncooked other beef not veal retail price,6.818,Dollars per pound,BLS
2023,September,9.0,All uncooked other beef not veal retail price,6.831,Dollars per pound,BLS
2023,October,10.0,All uncooked other beef not veal retail price,6.787,Dollars per pound,BLS
2023,November,11.0,All uncooked other beef not veal retail price,6.999,Dollars per pound,BLS
2023,December,12.0,All uncooked other beef not veal retail price,6.905,Dollars per pound,BLS
2024,January,1.0,All uncooked other beef not veal retail price,6.918,Dollars per pound,BLS
2024,February,2.0,All uncooked other beef not veal retail price,6.969,Dollars per pound,BLS
2024,March,3.0,All uncooked other beef not veal retail price,7.041,Dollars per pound,BLS
2024,April,4.0,All uncooked other beef not veal retail price,7.244,Dollars per pound,BLS
2024,May,5.0,All uncooked other beef not veal retail price,7.026,Dollars per pound,BLS
2024,June,6.0,All uncooked other beef not veal retail price,7.281,Dollars per pound,BLS
2024,July,7.0,All uncooked other beef not veal retail price,7.216,Dollars per pound,BLS
2024,August,8.0,All uncooked other beef not veal retail price,7.355,Dollars per pound,BLS
2024,September,9.0,All uncooked other beef not veal retail price,7.359,Dollars per pound,BLS
2024,October,10.0,All uncooked other beef not veal retail price,7.109,Dollars per pound,BLS
2024,November,11.0,All uncooked other beef not veal retail price,7.088,Dollars per pound,BLS
2024,December,12.0,All uncooked other beef not veal retail price,6.945,Dollars per pound,BLS
2025,January,1.0,All uncooked other beef not veal retail price,6.926,Dollars per pound,BLS
2025,February,2.0,All uncooked other beef not veal retail price,7.165,Dollars per pound,BLS
2025,March,3.0,All uncooked other beef not veal retail price,7.204,Dollars per pound,BLS
2025,April,4.0,All uncooked other beef not veal retail price,7.323,Dollars per pound,BLS
2025,May,5.0,All uncooked other beef not veal retail price,7.35,Dollars per pound,BLS
2025,June,6.0,All uncooked other beef not veal retail price,7.469,Dollars per pound,BLS
2025,July,7.0,All uncooked other beef not veal retail price,7.621,Dollars per pound,BLS
2023,July,7.0,"Bacon, sliced retail price",6.236,Dollars per pound,BLS
2023,August,8.0,"Bacon, sliced retail price",6.502,Dollars per pound,BLS
2023,September,9.0,"Bacon, sliced retail price",7.083,Dollars per pound,BLS
2023,October,10.0,"Bacon, sliced retail price",7.223,Dollars per pound,BLS
2023,November,11.0,"Bacon, sliced retail price",6.899,Dollars per pound,BLS
2023,December,12.0,"Bacon, sliced retail price",6.774,Dollars per pound,BLS
2024,January,1.0,"Bacon, sliced retail price",6.614,Dollars per pound,BLS
2024,February,2.0,"Bacon, sliced retail price",6.56,Dollars per pound,BLS
2024,March,3.0,"Bacon, sliced retail price",6.609,Dollars per pound,BLS
2024,April,4.0,"Bacon, sliced retail price",6.637,Dollars per pound,BLS
2024,May,5.0,"Bacon, sliced retail price",6.818,Dollars per pound,BLS
2024,June,6.0,"Bacon, sliced retail price",6.827,Dollars per pound,BLS
2024,July,7.0,"Bacon, sliced retail price",6.883,Dollars per pound,BLS
2024,August,8.0,"Bacon, sliced retail price",6.785,Dollars per pound,BLS
2024,September,9.0,"Bacon, sliced retail price",6.955,Dollars per pound,BLS
2024,October,10.0,"Bacon, sliced retail price",6.869,Dollars per pound,BLS
2024,November,11.0,"Bacon, sliced retail price",6.843,Dollars per pound,BLS
2024,December,12.0,"Bacon, sliced retail price",6.915,Dollars per pound,BLS
2025,January,1.0,"Bacon, sliced retail price",7.044,Dollars per pound,BLS
2025,February,2.0,"Bacon, sliced retail price",6.798,Dollars per pound,BLS
2025,March,3.0,"Bacon, sliced retail price",6.978,Dollars per pound,BLS
2025,April,4.0,"Bacon, sliced retail price",7.009,Dollars per pound,BLS
2025,May,5.0,"Bacon, sliced retail price",6.985,Dollars per pound,BLS
2025,June,6.0,"Bacon, sliced retail price",7.098,Dollars per pound,BLS
2025,July,7.0,"Bacon, sliced retail price",7.118,Dollars per pound,BLS
2023,July,7.0,"Pork chops, center cut, bone in retail price",4.448,Dollars per pound,BLS
2023,August,8.0,"Pork chops, center cut, bone in retail price",4.63,Dollars per pound,BLS
2023,September,9.0,"Pork chops, center cut, bone in retail price",4.552,Dollars per pound,BLS
2023,October,10.0,"Pork chops, center cut, bone in retail price",4.426,Dollars per pound,BLS
2023,November,11.0,"Pork chops, center cut, bone in retail price",4.278,Dollars per pound,BLS
2023,December,12.0,"Pork chops, center cut, bone in retail price",4.327,Dollars per pound,BLS
2024,January,1.0,"Pork chops, center cut, bone in retail price",4.534,Dollars per pound,BLS
2024,February,2.0,"Pork chops, center cut, bone in retail price",4.4,Dollars per pound,BLS
2024,March,3.0,"Pork chops, center cut, bone in retail price",4.333,Dollars per pound,BLS
2024,April,4.0,"Pork chops, center cut, bone in retail price",4.332,Dollars per pound,BLS
2024,May,5.0,"Pork chops, center cut, bone in retail price",4.545,Dollars per pound,BLS
2024,June,6.0,"Pork chops, center cut, bone in retail price",4.616,Dollars per pound,BLS
2024,July,7.0,"Pork chops, center cut, bone in retail price",4.568,Dollars per pound,BLS
2024,August,8.0,"Pork chops, center cut, bone in retail price",4.64,Dollars per pound,BLS
2024,September,9.0,"Pork chops, center cut, bone in retail price",4.62,Dollars per pound,BLS
2024,October,10.0,"Pork chops, center cut, bone in retail price",4.487,Dollars per pound,BLS
2024,November,11.0,"Pork chops, center cut, bone in retail price",4.647,Dollars per pound,BLS
2024,December,12.0,"Pork chops, center cut, bone in retail price",4.58,Dollars per pound,BLS
2025,January,1.0,"Pork chops, center cut, bone in retail price",4.625,Dollars per pound,BLS
2025,February,2.0,"Pork chops, center cut, bone in retail price",4.463,Dollars per pound,BLS
